k,k_label,bpp,psnr,point_label
0.1,k=0.1,18.13942539,41.93072626,k=0.1
0.2,k=0.2,12.90143057,38.31780155,k=0.2
0.5,k=0.5,8.14299261,34.07220214,k=0.5
0.8,k=0.8,6.42628491,32.12804007,k=0.8
