k,k_label,loeffler,matrix,rdct,silveira_j3,silveira_j7
0.1,k=0.1,3303.02501400,7179.70166300,1404.56560600,1383.59166800,1638.92853100
0.2,k=0.2,3277.60558500,7286.57963900,1368.84100400,1345.50598400,1643.10359800
0.5,k=0.5,3362.16172400,7233.29196600,1353.73914500,1314.96112400,1592.93824100
0.8,k=0.8,3386.22449100,7294.10489300,1363.51824400,1324.42710900,1598.92581600
