k,k_label,loeffler,matrix,rdct,silveira_j3,silveira_j7
0.1,k=0.1,2966.19858700,6983.40865200,1015.84422800,997.77560700,1204.22998900
0.2,k=0.2,2939.61204300,7064.31265000,1030.56135600,997.01597400,1199.54228200
0.5,k=0.5,2994.84997300,7101.55488100,1052.66130600,1013.86979700,1196.25943400
0.8,k=0.8,3016.72695500,7145.85618400,1069.51891600,1011.12123100,1206.80138600
