k,k_label,bpp,psnr,point_label
0.1,k=0.1,14.82790685,43.95111632,k=0.1
0.2,k=0.2,10.68623045,41.31491870,k=0.2
0.5,k=0.5,7.54011058,37.53217812,k=0.5
0.8,k=0.8,6.08554987,33.96406861,k=0.8
