k,k_label,loeffler,matrix,rdct,silveira_j3,silveira_j7
0.1,k=0.1,0.98409935,0.98409927,0.98108597,0.98075294,0.98298469
0.2,k=0.2,0.97714642,0.97714627,0.96896903,0.96711401,0.97221670
0.5,k=0.5,0.96338411,0.96338411,0.94435012,0.93737244,0.94967026
0.8,k=0.8,0.93901339,0.93901336,0.92131731,0.91352792,0.92705488
