k,k_label,bpp,psnr,point_label
0.1,k=0.1,14.82791448,43.95110855,k=0.1
0.2,k=0.2,10.68623045,41.31490506,k=0.2
0.5,k=0.5,7.54011058,37.53217718,k=0.5
0.8,k=0.8,6.08554135,33.96406618,k=0.8
