method,method_label,k0p1,k0p2,k0p5,k0p8
loeffler,Loeffler,13.57175100,12.79768100,12.84083000,12.71870900
matrix,Matrix,16.12808400,16.10022400,16.35118000,16.25117900
rdct,RDCT,5.29480100,5.29461600,5.37396100,5.30861500
silveira_j3,Silv. j=3,5.15927900,5.24695600,5.20271400,5.29181500
silveira_j7,Silv. j=7,5.83089000,5.81107600,5.83356200,5.80816400
