k,k_label,bpp,psnr,point_label
0.1,k=0.1,17.20385867,42.04989004,k=0.1
0.2,k=0.2,12.25712412,38.55479522,k=0.2
0.5,k=0.5,7.94253928,34.62425454,k=0.5
0.8,k=0.8,6.34779528,32.46382780,k=0.8
