method,method_label,k0p1,k0p2,k0p5,k0p8
loeffler,Loeffler,5062.476,3757.1879999999996,2789.147333333333,2442.0298333333335
matrix,Matrix,6087.508999999999,4783.1335,3815.6425000000004,3468.5511666666666
rdct,RDCT,4843.715499999999,3538.916333333334,2443.6793333333335,2082.6938333333337
silveira_j3,Silveira j=3,4856.7385,3562.8285,2431.722166666667,2056.3006666666665
silveira_j7,Silveira j=7,4773.723666666666,3499.647333333333,2430.7935,2077.4738333333335
