k,k_label,bpp,psnr,ssim,point_label
0.1,k=0.1,23.343125333333333,38.958333499999995,0.9637933333333333,k=0.1
0.2,k=0.2,15.762968833333332,35.8566665,0.9443743333333332,k=0.2
0.5,k=0.5,9.392552166666666,32.28166633333333,0.9126973333333334,k=0.5
0.8,k=0.8,7.287448,30.61833316666667,0.8908196666666667,k=0.8
