method,method_label,compress_dct_ms,compress_other_ms,compress_total_ms,decompress_idct_ms,decompress_other_ms,decompress_total_ms
loeffler,Loeffler,284.59995833333335,362.54999999999984,647.1499583333332,249.22183333333334,85.95479166666667,335.176625
matrix,Matrix,871.3605833333334,361.99675,1233.3573333333334,689.1748749999999,86.02025000000003,775.195125
rdct,RDCT,44.00491666666666,362.24483333333336,406.24975,88.52008333333335,85.97654166666665,174.496625
silveira_j3,Silv. j=3,42.42283333333333,362.5876666666667,405.0105,71.56058333333333,85.94970833333333,157.51029166666666
silveira_j7,Silv. j=7,51.180416666666666,362.61750000000006,413.7979166666667,96.89345833333334,86.00408333333334,182.89754166666668
