k,k_label,loeffler,matrix,rdct,silveira_j3,silveira_j7
0.1,k=0.1,230400.0,230400.0,230400.0,230400.0,230400.0
0.2,k=0.2,230400.0,230400.0,230400.0,230400.0,230400.0
0.5,k=0.5,230400.0,230400.0,230400.0,230400.0,230400.0
0.8,k=0.8,230400.0,230400.0,230400.0,230400.0,230400.0
