method,method_label,k0p1,k0p2,k0p5,k0p8
loeffler,Loeffler,3767.3224999999998,2490.6426666666666,1542.7074999999998,1203.537833333333
matrix,Matrix,3767.3253333333328,2490.642666666667,1542.7085,1203.5441666666668
rdct,RDCT,3950.4100000000003,2671.0685,1596.600666666667,1242.0271666666665
silveira_j3,Silveira j=3,3980.954833333333,2712.2555,1602.1323333333332,1233.8106666666665
silveira_j7,Silveira j=7,3865.72,2616.518333333333,1567.7338333333335,1220.818
