k,k_label,bpp,psnr,ssim,point_label
0.1,k=0.1,22.257708500000003,39.116667,0.9651521666666668,k=0.1
0.2,k=0.2,14.690937166666666,36.4683335,0.9498533333333333,k=0.2
0.5,k=0.5,9.074010666666668,33.109999833333326,0.9226973333333334,k=0.5
0.8,k=0.8,7.0630725000000005,31.484999833333333,0.9035830000000001,k=0.8
