method,method_label,k0p1,k0p2,k0p5,k0p8
loeffler,Loeffler,284.59516666666667,284.59233333333333,284.6103333333333,284.60200000000003
matrix,Matrix,871.3638333333333,871.3553333333334,871.364,871.3591666666667
rdct,RDCT,44.00666666666666,44.00066666666667,44.0085,44.003833333333326
silveira_j3,Silveira j=3,42.41966666666667,42.41583333333333,42.435,42.42083333333333
silveira_j7,Silveira j=7,51.18116666666666,51.18966666666666,51.167333333333325,51.1835
