platform,mean_scope,method,label,k,k_label,n,psnr,psnr_std,ssim,ssim_std,bpp,bpp_std,compress_ms,compress_ms_std,decompress_ms,decompress_ms_std,dct_kernel_ms,dct_kernel_ms_std,idct_kernel_ms,idct_kernel_ms_std,tx_ms,tx_ms_std,total_core_ms,total_core_ms_std,compression_ratio,compression_ratio_std,frame_bytes,frame_bytes_std,raw_bytes,raw_bytes_std
embedded,prototype_runs_mean,loeffler,Loeffler,0.1,k=0.1,6,39.116667,0.45631797831687687,0.9651521666666668,0.010408850319159498,22.257708500000003,2.567587891403817,647.9313333333333,1.618752812095343,338.41383333333334,1.3486874236333128,284.59516666666667,1.5541066136744455,252.45749999999998,1.34120658364027,3767.3224999999998,433.04600297185533,5062.476,444.192720448681,1.0899358333333333,0.12214190640958027,213698.0,24648.84058936647,230400.0,0.0
embedded,prototype_runs_mean,loeffler,Loeffler,0.2,k=0.2,6,36.4683335,0.8453970684443508,0.9498533333333333,0.0129464576107392,14.690937166666666,2.0968036998608546,646.6973333333333,1.4244570427593468,336.0201666666667,1.2880680753231424,284.59233333333333,1.548919967805516,249.99633333333335,1.317269853396282,2490.6426666666666,352.59887333777266,3757.1879999999996,362.0272043689535,1.6607441666666667,0.23045381096386025,141057.0,20129.318975067188,230400.0,0.0
embedded,prototype_runs_mean,loeffler,Loeffler,0.5,k=0.5,6,33.109999833333326,1.22176946270586,0.9226973333333334,0.015381619039186556,9.074010666666668,1.7244919531183285,646.9191666666667,1.5126447589129144,333.82483333333334,1.163598455940304,284.6103333333333,1.5343911713336456,247.98433333333332,1.196670324971191,1542.7074999999998,291.6941072882687,2789.147333333333,299.9830159823497,2.7223139999999995,0.49929546089024285,87134.5,16555.122044249627,230400.0,0.0
embedded,prototype_runs_mean,loeffler,Loeffler,0.8,k=0.8,6,31.484999833333333,1.3461903780672941,0.9035830000000001,0.017037116082248206,7.0630725000000005,1.455451021989919,647.0519999999999,1.6872738959635425,332.44766666666663,1.4285539075116087,284.60200000000003,1.5856473756797234,246.44916666666666,1.4268472120961841,1203.537833333333,244.80159823041734,2442.0298333333335,252.59745583470684,3.513053333333333,0.6873220507275075,67829.5,13972.329537339147,230400.0,0.0
embedded,prototype_runs_mean,matrix,Matrix,0.1,k=0.1,6,39.116667,0.45631797831687687,0.9651521666666668,0.010408850319159498,22.257708500000003,2.567587891403817,1233.278833333333,1.6552309103767833,778.4986666666667,1.3517690137988336,871.3638333333333,1.5405456717237243,692.4333333333333,1.385421043100833,3767.3253333333328,433.0471278356048,6087.508999999999,444.4482217208211,1.0899358333333333,0.12214190640958027,213698.0,24648.84058936647,230400.0,0.0
embedded,prototype_runs_mean,matrix,Matrix,0.2,k=0.2,6,36.4683335,0.8453970684443508,0.9498531666666666,0.012946521840504769,14.690937166666666,2.0968036998608546,1233.0183333333334,1.7328280545589154,775.9713333333333,1.281267913695898,871.3553333333334,1.56478415976988,689.9326666666666,1.2822453223415238,2490.642666666667,352.6001972992453,4783.1335,362.34451556867805,1.6607441666666667,0.23045381096386025,141057.0,20129.318975067188,230400.0,0.0
embedded,prototype_runs_mean,matrix,Matrix,0.5,k=0.5,6,33.109999833333326,1.22176946270586,0.9226973333333334,0.015381619039186556,9.074010666666668,1.7244919531183285,1233.5413333333333,1.6076290202240948,773.9605,1.1563352022661713,871.364,1.5638231357797436,687.9593333333333,1.129572603539359,1542.7085,291.694623626662,3815.6425000000004,299.88533374324913,2.7223139999999995,0.49929546089024285,87134.5,16555.122044249627,230400.0,0.0
embedded,prototype_runs_mean,matrix,Matrix,0.8,k=0.8,6,31.484999833333333,1.3461903780672941,0.9035830000000001,0.017037116082248206,7.0630725000000005,1.455451021989919,1233.5908333333334,1.8612769183189106,772.3499999999999,1.433572460672994,871.3591666666667,1.5503696870961807,686.3741666666666,1.4688255739422356,1203.5441666666668,244.80274879699917,3468.5511666666666,252.77426497364536,3.513053333333333,0.6873220507275075,67829.5,13972.329537339147,230400.0,0.0
embedded,prototype_runs_mean,rdct,RDCT,0.1,k=0.1,6,38.958333499999995,0.4775108033687819,0.9637933333333333,0.010728009016899019,23.343125333333333,3.234185219195565,406.23066666666665,0.010557777543915504,174.1928333333333,0.07535891895898872,44.00666666666666,0.02041241452319357,88.34933333333333,0.12171222891175461,3950.4100000000003,546.6704913356858,4843.715499999999,557.9746307393373,1.0439773333333333,0.1385079778636114,224118.0,31048.1749608572,230400.0,0.0
embedded,prototype_runs_mean,rdct,RDCT,0.2,k=0.2,6,35.8566665,0.9285618521857882,0.9443743333333332,0.013716281561220104,15.762968833333332,2.473226327962762,406.26500000000004,0.06493997228210628,174.51383333333334,0.05790135289150217,44.00066666666667,0.011129540272026879,88.47016666666667,0.061356064628253396,2671.0685,417.13323858534704,3538.916333333334,425.3083901940645,1.5530123333333332,0.23610502338126285,151348.5,23742.971151479756,230400.0,0.0
