k,k_label,loeffler,matrix,rdct,silveira_j3,silveira_j7
0.1,k=0.1,5062.476,6087.508999999999,4843.715499999999,4856.7385,4773.723666666666
0.2,k=0.2,3757.1879999999996,4783.1335,3538.916333333334,3562.8285,3499.647333333333
0.5,k=0.5,2789.147333333333,3815.6425000000004,2443.6793333333335,2431.722166666667,2430.7935
0.8,k=0.8,2442.0298333333335,3468.5511666666666,2082.6938333333337,2056.3006666666665,2077.4738333333335
