method,method_label,k0p1,k0p2,k0p5,k0p8
loeffler,Loeffler,338.41383333333334,336.0201666666667,333.82483333333334,332.44766666666663
matrix,Matrix,778.4986666666667,775.9713333333333,773.9605,772.3499999999999
rdct,RDCT,174.1928333333333,174.51383333333334,174.562,174.71783333333335
silveira_j3,Silv. j=3,157.31766666666667,157.44133333333332,157.674,157.60816666666668
silveira_j7,Silv. j=7,182.7115,182.92683333333335,182.9416666666667,183.01016666666666
