method,method_label,k0p1,k0p2,k0p5,k0p8
loeffler,Loeffler,252.45749999999998,249.99633333333335,247.98433333333332,246.44916666666666
matrix,Matrix,692.4333333333333,689.9326666666666,687.9593333333333,686.3741666666666
rdct,RDCT,88.34933333333333,88.47016666666667,88.61166666666668,88.64916666666669
silveira_j3,Silveira j=3,71.34066666666666,71.46249999999999,71.64433333333334,71.79483333333333
silveira_j7,Silveira j=7,96.78133333333334,96.85316666666667,96.92083333333335,97.0185
