method,method_label,k0p1,k0p2,k0p5,k0p8
loeffler,Loeffler,647.9313333333333,646.6973333333333,646.9191666666667,647.0519999999999
matrix,Matrix,1233.278833333333,1233.0183333333334,1233.5413333333333,1233.5908333333334
rdct,RDCT,406.23066666666665,406.26500000000004,406.23900000000003,406.2643333333333
silveira_j3,Silv. j=3,404.98166666666657,404.991,405.0768333333333,404.9925
silveira_j7,Silv. j=7,413.69283333333334,413.6410000000001,413.8285,414.02933333333334
