k,k_label,psnr_gain_db,ssim_gain,bpp_delta
0.1,k=0.1,0.21833350000000706,0.0016859999999999653,-0.5063025000000003
0.2,k=0.2,0.29833283333333327,0.002658500000000008,-0.3265623333333334
0.5,k=0.5,0.300000500000003,0.002927499999999972,-0.17322933333333168
0.8,k=0.8,0.320000166666663,0.003923833333333349,-0.1161979999999998
