run,method,k,bpp,frame_bytes,raw_bytes,compression_ratio,tx_ms,tx_raw_ms
run0005,rdct,0.5,12.403125,119094.0,230400.0,1.934996,2104.889,4059.722
run0005,silveira_j3,0.5,12.490937,119937.0,230400.0,1.921393,2121.384,4059.722
run0005,silveira_j7,0.5,12.19125,117060.0,230400.0,1.968625,2068.967,4059.722
run0005,loeffler,0.8,9.593437,92121.0,230400.0,2.50171,1629.181,4059.722
run0005,matrix,0.8,9.593437,92121.0,230400.0,2.50171,1629.191,4059.722
run0005,rdct,0.8,9.820625,94302.0,230400.0,2.443836,1671.126,4059.722
run0005,silveira_j3,0.8,9.812813,94227.0,230400.0,2.445782,1665.611,4059.722
run0005,silveira_j7,0.8,9.70875,93228.0,230400.0,2.471997,1647.833,4059.722
run0009,loeffler,0.1,21.895313,210219.0,230400.0,1.096125,3706.796,4059.722
run0009,matrix,0.1,21.895313,210219.0,230400.0,1.096125,3706.796,4059.722
run0009,rdct,0.1,22.801874,218922.0,230400.0,1.052545,3859.794,4059.722
run0009,silveira_j3,0.1,22.987812,220707.0,230400.0,1.044032,3888.772,4059.722
run0009,silveira_j7,0.1,22.258751,213708.0,230400.0,1.078228,3769.005,4059.722
run0009,loeffler,0.2,14.409062,138351.0,230400.0,1.665618,2445.27,4059.722
run0009,matrix,0.2,14.409062,138351.0,230400.0,1.665618,2445.281,4059.722
run0009,rdct,0.2,15.365,147528.0,230400.0,1.561992,2602.103,4059.722
run0009,silveira_j3,0.2,15.540625,149214.0,230400.0,1.544339,2635.146,4059.722
run0009,silveira_j7,0.2,15.040625,144414.0,230400.0,1.595678,2547.722,4059.722
run0009,loeffler,0.5,8.904375,85506.0,230400.0,2.695304,1512.529,4059.722
run0009,matrix,0.5,8.904375,85506.0,230400.0,2.695304,1512.523,4059.722
run0009,rdct,0.5,9.115625,87534.0,230400.0,2.632842,1548.373,4059.722
run0009,silveira_j3,0.5,9.082812,87219.0,230400.0,2.642353,1545.796,4059.722
run0009,silveira_j7,0.5,8.941875,85866.0,230400.0,2.684001,1520.275,4059.722
run0009,loeffler,0.8,6.875937,66033.0,230400.0,3.490433,1170.382,4059.722
run0009,matrix,0.8,6.875937,66033.0,230400.0,3.490433,1170.392,4059.722
run0009,rdct,0.8,7.032813,67539.0,230400.0,3.412575,1197.144,4059.722
run0009,silveira_j3,0.8,6.972188,66957.0,230400.0,3.442248,1187.537,4059.722
run0009,silveira_j7,0.8,6.928438,66537.0,230400.0,3.463984,1179.289,4059.722
run0010,loeffler,0.1,21.895,210216.0,230400.0,1.096141,3706.767,4059.719
run0010,matrix,0.1,21.895,210216.0,230400.0,1.096141,3706.769,4059.719
run0010,rdct,0.1,22.846251,219348.0,230400.0,1.050501,3868.09,4059.719
run0010,silveira_j3,0.1,23.045313,221259.0,230400.0,1.041427,3898.093,4059.719
run0010,silveira_j7,0.1,22.41,215160.0,230400.0,1.070951,3795.332,4059.719
run0010,loeffler,0.2,14.544375,139650.0,230400.0,1.650123,2465.498,4059.719
run0010,matrix,0.2,14.544375,139650.0,230400.0,1.650123,2465.492,4059.719
run0010,rdct,0.2,15.61125,149892.0,230400.0,1.537353,2645.519,4059.719
run0010,silveira_j3,0.2,15.852813,152211.0,230400.0,1.513927,2688.544,4059.719
run0010,silveira_j7,0.2,15.328125,147174.0,230400.0,1.565749,2599.203,4059.719
run0010,loeffler,0.5,8.951875,85962.0,230400.0,2.681003,1521.076,4059.719
run0010,matrix,0.5,8.951875,85962.0,230400.0,2.681003,1521.077,4059.719
run0010,rdct,0.5,9.4075,90336.0,230400.0,2.551156,1600.191,4059.719
run0010,silveira_j3,0.5,9.47625,90996.0,230400.0,2.532647,1610.351,4059.719
run0010,silveira_j7,0.5,9.2025,88368.0,230400.0,2.607987,1564.807,4059.719
run0010,loeffler,0.8,6.920312,66459.0,230400.0,3.468051,1178.688,4059.719
run0010,matrix,0.8,6.920312,66459.0,230400.0,3.468051,1178.693,4059.719
run0010,rdct,0.8,7.2425,69552.0,230400.0,3.313773,1232.878,4059.719
run0010,silveira_j3,0.8,7.236875,69498.0,230400.0,3.316349,1232.395,4059.719
run0010,silveira_j7,0.8,7.105625,68238.0,230400.0,3.377606,1212.483,4059.719
