k,k_label,loeffler,matrix,rdct,silveira_j3,silveira_j7
0.1,k=0.1,213698.0,213698.0,224118.0,225896.0,219257.5
0.2,k=0.2,141057.0,141057.0,151348.5,153640.5,148213.5
0.5,k=0.5,87134.5,87134.5,90192.5,90480.5,88529.5
0.8,k=0.8,67829.5,67829.5,69983.5,69574.0,68868.0
